Lista de precios,,
ARTICULO,DESCRIPCION,PRECIO 1
1553-19,"Abrazadera p/toma dom. rosca 2 1/2 x 3/4""",94.8275889355278
1552-13,"Abrazadera p/toma dom. rosca 2 x 1/2""",77.5862091290682
1552-19,"Abrazadera p/toma dom. rosca 2 x 3/4""",81.8965540806831
1554-25,"Abrazadera p/toma dom. rosca 3 x 1""",159.482763209751
1554-13,"Abrazadera p/toma dom. rosca 3 x 1/2""",159.482763209751
1554-19,"Abrazadera p/toma dom. rosca 3 x 3/4""",168.103453112981
1555-25,"Abrazadera p/toma dom. rosca 4 x 1""",172.413798064596
1555-13,"Abrazadera p/toma dom. rosca 4 x 1/2""",185.344832919441
1555-19,"Abrazadera p/toma dom. rosca 4 x 3/4""",193.96553144336
1556-13,"Abrazadera p/toma dom. rosca 6 x 1/2""",301.724146613043
1556-19,"Abrazadera p/toma dom. rosca 6 x 3/4""",323.275862750428
PU-1A,"Abrazadera p/unicanal 1""",17.2413798064596
PU-1/2A,"Abrazadera p/unicanal 1/2""",11.2068968741987
PU-3/4A,"Abrazadera p/unicanal, 3/4""",12.9310348548447
CV-103,"Abrazadera PPR, 1"", tipo U",4.3103449516149
CV-101,"Abrazadera PP-R, 1/2"", tipo U",2.15517247580745
CV-102,"Abrazadera PPR, 3/4"", tipo U",3.44827596129192
AB-104,"Abrazadera reforzada, # 104, 6-1/8 - 7',",31.8965526419503
AB-80,"Abrazadera reforzada, # 80, 4-5/8 - 5-1/2' (118-140MM)",24.1379317290434
AB-88,"Abrazadera reforzada, # 88, 5-1/8 - 6' (130-152MM)",27.5862076903354
AB-96,"Abrazadera reforzada, # 96, 5-9/16 - 6-1/2'",30.1724146613043
AO-112,"Abrazadera t/omega 1 1/2""",9.48275889355278
AO-114,"Abrazadera t/omega 1 1/4""",7.75862091290682
AO-1,"Abrazadera t/omega 1""",5.17241394193788
AO-1.2,Abrazadera t/omega 1/2',3.44827596129192
AO-212,"Abrazadera t/omega 2 1/2""",30.1724146613043
AO-2,"Abrazadera t/omega 2""",13.7931038451677
AO-3,"Abrazadera t/omega 3""",30.1724146613043
AO-3.4,"Abrazadera t/omega 3/4""",4.3103449516149
AO-3.8,"Abrazadera t/omega 3/8""",3.01724146613043
AO-4,"Abrazadera t/omega 4""",34.4827596129192
OT400,"Abrazadera t/omega reforzada 5/16 de 4""",47.4137944677639
ATT3,"Abrazadera t/u 3"" c/tcas.",25.8620697096894
XABRTU11/4,"Abrazadera t/U c/tca y placa 1/4 x 1 1/4""",18.9655177871056
XABRTU1,"Abrazadera t/U c/tca y placa 1/4 x 1""",17.2413798064596
ABRTU2,"Abrazadera t/U c/tca y placa 1/4 x 2""",38.7931045645341
ABRTU3/4,"Abrazadera t/U c/tca y placa 1/4 x 3/4""",13.7931038451677
ATT112,"Abrazadera t/u de 1 1/2"" c/tcas.",14.6551728354907
ATT114,"Abrazadera t/u de 1 1/4"" c/tcas.",12.0689658645217
ATT1,"Abrazadera t/u de 1"" c/tcas.",10.3448278838758
ATT12,"Abrazadera t/u de 1/2"" c/tcas.",7.75862091290682
ATT212,"Abrazadera t/u de 2 1/2"" c/tcas.",19.8275867774285
ATT2,"Abrazadera t/u de 2"" c/tcas.",17.2413798064596
ATT34,"Abrazadera t/u de 3/4"" c/tcas.",8.6206899032298
ABRTU21/2,"Abrazadera t/u de 3/8 x 2 1/2"" c/placa y tcas.",68.9655192258384
ABRTU3,"Abrazadera t/u de 3/8 x 3"" c/placa y tcas.",68.9655192258384
ABRTU4,"Abrazadera t/u de 3/8 x 4"" c/placa y tcas.",86.206899032298
ATT4,"Abrazadera t/u de 4"" c/tcas.",31.8965526419503
AU-1,Abrazadera t/uña 1',5.17241394193788
AU-1.2,Abrazadera t/uña 1/2',3.44827596129192
AU-112,Abrazadera t/uña 1-1/2',10.3448278838758
AU-114,Abrazadera t/uña 1-1/4',8.6206899032298
AU-2,Abrazadera t/uña 2',13.7931038451677
AU-212,"abrazadera t/uña 2 1/2""",30.1724146613043
AU-3,Abrazadera t/uña 3',36.2068975935652
AU-3.4,Abrazadera t/uña 3/4',4.3103449516149
AU-3.8,"Abrazadera t/uña 3/8""",3.01724146613043
AU-4,Abrazadera t/uña 4',47.4137944677639
JM6379,Abrazadera T-Bolt resosrte 79-87mm inox,112.068968741987
3222,"Abrazadera U 3/8X3 1/2X4 5/8"" c/placa y 2 tuercas",99.1379338871427
3215,"Abrazadera U 5/16X1 3/4x3"" c/placa y 2 tuercas",49.1379324484099
3216,"Abrazadera U 5/16X1 3/4x4 3/16"" c/placa y 2 tuercas",62.0689673032546
3213,"Abrazadera U 5/16X1 3/8x2 1/2"" c/placa y 2 tuercas",43.103449516149
3214,"Abrazadera U 5/16X1 3/8x3 11/16"" c/placa y 2 tuercas",57.7586223516397
3218,"Abrazadera U 5/16X2 1/2""X3 1/2"" c/placa y 2 tuercas",60.3448293226086
3217,"Abrazadera U 5/16X2X3 11/16"" c/placa y 2 tuercas",60.3448293226086
AU112,"Abrazadera unical p/gruesa 1 1/2""",27.5862076903354
AU2,"Abrazadera unical p/gruesa 2""",31.8965526419503
AU300,"Abrazadera unical p/gruesa 3""",38.7931045645341
AU400,"Abrazadera unical p/gruesa 4""",43.103449516149
AB-03,"Abrazaderas mini sin fin reforzadas #3, 1/4""-5/8""",6.03448293226086
AB-4,"Abrazdera # 4 de 3/8"" a 5/8"",ancho 1/2""",7.75862091290682
893.221.311,Abrillantador y lubricante de silicon W-MAX 200g,116.379313693602
JBPL1.4,"Accesorio de birlo p/lamina 1/4""",2.15517247580745
JBPL3.16,"Accesorio de birlo p/lamina 3/16""",1.72413798064596
2670,Accesorios eléctricos jgo 3 pzcolor blanco,85.3448275862069
2671,Accesorios eléctricos jgo 3 pzcolor blanco,85.3448275862069
2652,Accesorios eléctricos jgo 3 pzverde (2 mult y ext de 1.8 m),75.8620689655173
2674,"Accesorios eléctricos jgo 3 pzverde, ext pie, multi y clav",85.3448275862069
2701,"Accesorios eléctricos jgo 3 pzverde,ext pie,multi y clav,WM",85.3448275862069
2660,"Accesorios eléctricos jgo 4 pzverde (mult, ext, adap, mult",201.724137931035
2651,"Accesorios eléctricos jgo 5 pzverde (3 mult, ext 1.5m y luz",93.9655172413793
2700,"Accesorios eléctricos jgo c/3pz , multi, clav y luz d noche",85.3448275862069
2672,"Accesorios eléctricos jgo c/3pz verde, multi, clav y ext",85.3448275862069
2655,"Accesorios eléctricos jgo c/3pz, 1 multicontacto",97.4137931034483
2657,"Accesorios eléctricos jgo c/3pz, 1 supresor de picos",97.4137931034483
2654,"Accesorios eléctricos jgo c/5pz, 1 multicontacto",112.068965517241
2703,Accesorios eléctricos juego c/,85.3448275862069
8727,Accesorios neumáticos jgo 14 pz p/limpiar e inflar,238.793103448276
8723,"Accesorios neumáticos jgo 17 pz p/limpiar, inflar y calibrar",196.551724137931
8728,"Accesorios neumáticos jgo 18 pz p/limpiar, inflar y calibrar",206.034482758621
8964,"Accesorios para baño, juego de5 pz",258.620705717584
A3-1M30,Aceite 3 en 1 uso multiples 30 ml.,33.6206906225962
A3-1M90,Aceite 3 en 1 uso multiples 90 ml.,50.8620704290558
WT-110,Aceite aflojatodo en aerosol de 110 ml,43.103449516149
WT-240,Aceite aflojatodo en aerosol de 235 ml,56.0344843709937
WT-400,Aceite aflojatodo en aerosol de 400 ml,77.5862091290682
ACA-03834,Aceite castrol 15W40 GTX mineral 4.73L,366.379329507956
ACA06510,aceite castrol magnatec 10W30 api sn 946 ml,119.827589654894
ACA06513,aceite castrol magnatec 15W40 api sn 946 ml,100.000002877466
ABA-101,Aceite de relleno SAE-50 0.705 ml,56.0344843709937
ACF150,"Aceite frio 150 lt, Acemire",300.000017253087
52044,Aceite lubricante 3 en 1 aerosol 5.5oz,99.1379338871427
134001,Aceite mineral 2 tiemp 250ml,47.4137944677639
54,Aceite mop 1 LTS Aroma fresa,152.586202666478
16113,Aceite motonic 2 tiempos 950ML API TC,112.068968741987
AMF-85,Aceite multiusos 85ml flexo,27.5862076903354
WT-350,"Aceite multiusos en aerosol, 345ml (12oz), Truper",68.9655192258384
A-31-30,"Aceite multiusos, 30 ml",17.2413798064596
A-31-90,"Aceite multiusos, 90 ml",30.1724146613043
ACM2T,Aceite p/motor 2 tiempos 946ml,99.1379338871427
PT16942,Aceite p/motor 4 tiempos SAE20W-50 4T 950ml Motonic,116.379313693602
ACA12075,aceite p/motor a gasolina SAE20W-50,75.8620711484222
ACA03531C,aceite p/motor a gasolina SAE20W-50 (4.73lts),448.27585772657
ACA06824,aceite p/motor a gasolina SAE25W-60,77.5862091290682
ACT-2T-16,"Aceite para motor de dos tiempos, 16 oz",107.758623790373
AR3-1.240,Aceite rojo p/muebles 240 ml 3 en 1,81.8965540806831
AR3-1.480,Aceite rojo p/muebles 480 ml 3 EN 1,107.758623790373
16007,Aceite roshpack HI-ENERGY api sae 20W-50 950ml,81.0344850903601
16924,Aceite RUN-PWR sintetico API SN plus/ilsac GF-5 SAE 10W-30,112.068968741987
ACES-5,"Aceite sintético para motor de 2 tiempos, 100 ml",43.103449516149
ACES-2,"Aceite sintético para motor de 2 tiempos, 60 ml",27.5862076903354
300042,Aceite specialist WD40 3.78L Removedor oxido inmersion,905.172465701199
ABA-109,Aceite transmision atf 0.705 ml #109,60.3448293226086
ACEF-180,"Aceitera de pipeta flexible, 180 ml",72.4137951871303
ACEF-300,"Aceitera de pipeta flexible, 300 ml",99.1379338871427
ACEF-500,"Aceitera de pipeta flexible, 500 ml",99.1379338871427
AM500,acido muriatico 0.5 lts.,10.3448278838758
AM1,Acido muriatico 1 lts.,19.8275867774285
QHI-153,Acido p/acumulador/bateria 1 lts.,64.6551742742235
AS1LT,Acido Sarricida 1lts,51.7241394193788
107272,Acoplador linea de combustible,90.5172439839129
03020102,"Acoplador liquido 3/4""",314.655181467888
TPCR454,Acoplador p/remolque 2¨ 5000lbs uso pesado,689.655192258384
ACO-BOLA-20,Acoplador para BOLA-20,297.413801661428
ACO-BOLA-35,"Acoplador para BOLA-35 (remolque) 2""",418.103460306645
IH318,"Acoplador rapido 1/4"" zamak 1m/3h",107.758623790373
NF2000,"Acoplador rapido 1/4"" zamak 3m/1h",103.448278838758
4771,Adaptador 1/4 para puntas,60.3448293226086
AD-32B,"Adaptador 3 a 2 blanco, Voltech, 2 piezas",12.0689655172414
AD-32G,"Adaptador 3 a 2 gris, Voltech, 2 piezas",12.0689655172414
AD-32N-G,"Adaptador 3 a 2 naranja, Voltech pz",17.2413798064596
5453,Adaptador 3/4 hembra 1/2 macho Urrea,202.58622134659
AD-RP,Adaptador barra redonda a plana (clavija),21.5517247580745
ADPO-112,"Adaptador bce. p/mang. 1 1/2', macho",189.655177871056
ADPO-114,"Adaptador bce. p/mang. 1 1/4', macho",150.862073306522
ADPO-1M,"Adaptador bce. p/mang. 1', macho",68.9655192258384
ADPO-1.2M,"Adaptador bce. p/mang. 1/2', macho",28.4482766806583
ADPO-1.2H,"Adaptador bce. p/poliducto, 1/2', hembra",34.4827596129192
ADPO-3.4H,"Adaptador bce. p/poliducto, 3/4', hembra",44.827587496795
ADPO-3.4M,"Adaptador bce.p/mang. 3/4', macho",43.103449516149
AD-1470,Adaptador con supresor de picos 1470 Joules,103.448278838758
AD-270,"Adaptador con supresor de picos 270 joules, Voltech",22.4137931034483
4213,Adaptador de 1 plug 3.5 mm a 2jack 3.5 mm  blister,10.3448275862069
4212,Adaptador de 1 plug 3.5 mm a 2jack 3.5 mm  granel,8.6206899032298
AD-CU-P,Adaptador de cuchillas de repuesto,164.655172413793
AEPTA1.2,"Adaptador expansion p/toma/agua bce.1/2"" (polietileno)",301.724146613043
AEPTA3.4,"Adaptador expansion p/toma/agua bce.3/4"" (polietileno)",366.379320887267
1518-25X13,"Adaptador hembra insercion plastico 1 X 1/2""",25.8620697096894
1518-25X19,"Adaptador hembra insercion plastico 1 X 3/4""",25.8620697096894
1518-25.4,"Adaptador hembra insercion plastico 1""",38.7931045645341
1518-1319,"Adaptador hembra insercion plastico 1/2 X 3/4""",17.2413798064596
